WARNING 2025-05-22 15:48:44,362 log Not Found: /static/rest_framework/css/bootstrap-tweaks.css
WARNING 2025-05-22 15:48:44,363 log Not Found: /static/rest_framework/js/jquery-3.5.1.min.js
WARNING 2025-05-22 15:48:44,364 log Not Found: /static/rest_framework/js/ajax-form.js
WARNING 2025-05-22 15:48:44,370 log Not Found: /static/rest_framework/js/csrf.js
WARNING 2025-05-22 15:48:44,372 log Not Found: /static/rest_framework/css/default.css
WARNING 2025-05-22 15:48:44,423 basehttp "GET /static/rest_framework/css/default.css HTTP/1.1" 404 179
WARNING 2025-05-22 15:48:44,373 log Not Found: /static/rest_framework/css/prettify.css
WARNING 2025-05-22 15:48:44,429 basehttp "GET /static/rest_framework/css/prettify.css HTTP/1.1" 404 179
WARNING 2025-05-22 15:48:44,374 basehttp "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 404 179
WARNING 2025-05-22 15:48:44,375 basehttp "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 404 179
WARNING 2025-05-22 15:48:44,375 basehttp "GET /static/rest_framework/js/jquery-3.5.1.min.js HTTP/1.1" 404 179
WARNING 2025-05-22 15:48:44,376 basehttp "GET /static/rest_framework/js/csrf.js HTTP/1.1" 404 179
WARNING 2025-05-22 15:48:44,443 log Not Found: /static/rest_framework/js/default.js
WARNING 2025-05-22 15:48:44,445 log Not Found: /static/rest_framework/js/prettify-min.js
WARNING 2025-05-22 15:48:44,437 log Not Found: /static/rest_framework/js/bootstrap.min.js
WARNING 2025-05-22 15:48:44,447 basehttp "GET /static/rest_framework/js/default.js HTTP/1.1" 404 179
WARNING 2025-05-22 15:48:44,449 basehttp "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 404 179
WARNING 2025-05-22 15:48:44,450 basehttp "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 404 179
INFO 2025-05-22 15:49:10,515 basehttp "GET /api/analyze HTTP/1.1" 301 0
WARNING 2025-05-22 15:49:10,548 log Method Not Allowed: /api/analyze/
WARNING 2025-05-22 15:49:10,548 basehttp "GET /api/analyze/ HTTP/1.1" 405 5680
WARNING 2025-05-22 15:49:10,605 log Not Found: /static/rest_framework/css/bootstrap-tweaks.css
WARNING 2025-05-22 15:49:10,610 log Not Found: /static/rest_framework/css/prettify.css
WARNING 2025-05-22 15:49:10,612 log Not Found: /static/rest_framework/js/ajax-form.js
WARNING 2025-05-22 15:49:10,614 log Not Found: /static/rest_framework/css/bootstrap.min.css
WARNING 2025-05-22 15:49:10,619 log Not Found: /static/rest_framework/js/jquery-3.5.1.min.js
WARNING 2025-05-22 15:49:10,619 basehttp "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 404 179
WARNING 2025-05-22 15:49:10,630 basehttp "GET /static/rest_framework/css/prettify.css HTTP/1.1" 404 179
WARNING 2025-05-22 15:49:10,631 log Not Found: /static/rest_framework/css/default.css
WARNING 2025-05-22 15:49:10,632 basehttp "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 404 179
WARNING 2025-05-22 15:49:10,633 basehttp "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 404 179
WARNING 2025-05-22 15:49:10,639 basehttp "GET /static/rest_framework/js/jquery-3.5.1.min.js HTTP/1.1" 404 179
WARNING 2025-05-22 15:49:10,681 log Not Found: /static/rest_framework/js/csrf.js
WARNING 2025-05-22 15:49:10,694 log Not Found: /static/rest_framework/js/bootstrap.min.js
WARNING 2025-05-22 15:49:10,720 log Not Found: /static/rest_framework/js/prettify-min.js
WARNING 2025-05-22 15:49:10,722 log Not Found: /static/rest_framework/js/default.js
WARNING 2025-05-22 15:49:10,722 basehttp "GET /static/rest_framework/css/default.css HTTP/1.1" 404 179
WARNING 2025-05-22 15:49:10,724 basehttp "GET /static/rest_framework/js/csrf.js HTTP/1.1" 404 179
WARNING 2025-05-22 15:49:10,725 basehttp "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 404 179
WARNING 2025-05-22 15:49:10,725 basehttp "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 404 179
WARNING 2025-05-22 15:49:10,726 basehttp "GET /static/rest_framework/js/default.js HTTP/1.1" 404 179
ERROR 2025-05-22 15:49:35,942 views Error in paper search: 'title'
ERROR 2025-05-22 15:49:35,947 log Internal Server Error: /api/papers/search/
ERROR 2025-05-22 15:49:35,947 basehttp "GET /api/papers/search/?query=%22Test%20text%20here%22 HTTP/1.1" 500 5494
WARNING 2025-05-22 15:49:35,996 log Not Found: /static/rest_framework/css/bootstrap.min.css
WARNING 2025-05-22 15:49:35,997 log Not Found: /static/rest_framework/css/bootstrap-tweaks.css
WARNING 2025-05-22 15:49:36,008 log Not Found: /static/rest_framework/css/prettify.css
WARNING 2025-05-22 15:49:36,010 log Not Found: /static/rest_framework/js/jquery-3.5.1.min.js
WARNING 2025-05-22 15:49:36,014 log Not Found: /static/rest_framework/js/ajax-form.js
WARNING 2025-05-22 15:49:36,023 log Not Found: /static/rest_framework/js/csrf.js
